    TS       Day   Newton        INJ1:BHP        INJ1:WIR        INJ1:OIR        INJ2:BHP        INJ2:WIR        INJ2:OIR        PRD1:BHP        PRD1:WPR        PRD1:OPR        PRD2:BHP        PRD2:WPR        PRD2:OPR        PRD3:BHP        PRD3:WPR        PRD3:OPR        PRD4:BHP        PRD4:WPR        PRD4:OPR
    0    0.0000        0     2.50000e+02    -8.47490e+03    -1.11831e-06     2.50000e+02    -2.89670e+03    -3.82234e-07     1.50000e+02     5.38180e-08     7.10156e+02     1.50000e+02     3.85155e-07     5.08231e+03     1.50000e+02     1.21455e-07     1.60267e+03     1.50000e+02     1.47795e-07     1.95024e+03
    1    1.0000        4     2.50000e+02    -3.34581e+03    -4.41497e-07     2.50000e+02    -1.35993e+03    -1.79449e-07     1.50000e+02     1.29998e-02     4.58644e+02     1.50000e+02     9.60866e-02     2.67634e+03     1.50000e+02     2.86823e-02     1.04604e+03     1.50000e+02     3.62537e-02     1.20153e+03
    2    3.0000        3     2.50000e+02    -3.75550e+03    -4.95558e-07     2.50000e+02    -1.27718e+03    -1.68531e-07     1.50000e+02     1.34730e-02     4.09926e+02     1.50000e+02     8.96311e-02     2.29443e+03     1.50000e+02     2.93470e-02     9.43203e+02     1.50000e+02     3.63866e-02     1.06663e+03
    3    7.0000        3     2.50000e+02    -4.12216e+03    -5.43941e-07     2.50000e+02    -1.45312e+03    -1.91747e-07     1.50000e+02     1.30609e-02     3.94815e+02     1.50000e+02     8.14838e-02     2.01620e+03     1.50000e+02     2.84277e-02     8.74722e+02     1.50000e+02     3.46672e-02     9.96329e+02
    4   15.0000        4     2.50000e+02    -4.17343e+03    -5.50705e-07     2.50000e+02    -1.58753e+03    -2.09483e-07     1.50000e+02     1.21532e-02     3.89799e+02     1.50000e+02     7.32220e-02     1.72519e+03     1.50000e+02     2.68747e-02     8.06006e+02     1.50000e+02     3.21904e-02     9.37981e+02
    5   31.0000        5     2.50000e+02    -4.01260e+03    -5.29483e-07     2.50000e+02    -1.63496e+03    -2.15742e-07     1.50000e+02     1.05133e-02     3.95138e+02     1.50000e+02     6.50534e-02     1.41559e+03     1.50000e+02     2.51632e-02     7.31139e+02     1.50000e+02     2.94535e-02     8.87141e+02
    6   63.0000        6     2.50000e+02    -3.83050e+03    -5.05454e-07     2.50000e+02    -1.62447e+03    -2.14357e-07     1.50000e+02     7.80337e-03     4.11650e+02     1.50000e+02     5.70433e-02     1.13734e+03     1.50000e+02     2.37055e-02     6.53377e+02     1.50000e+02     2.69168e-02     8.50920e+02
    7  127.0000        8     2.50000e+02    -3.64411e+03    -4.80859e-07     2.50000e+02    -1.61159e+03    -2.12658e-07     1.50000e+02     4.08813e-03     4.36021e+02     1.50000e+02     5.07449e-02     9.51584e+02     1.50000e+02     2.26002e-02     5.85952e+02     1.50000e+02     2.46476e-02     8.32187e+02
    8  227.0000        8     2.50000e+02    -3.52638e+03    -4.65324e-07     2.50000e+02    -1.58925e+03    -2.09710e-07     1.50000e+02     1.26491e-03     4.58126e+02     1.50000e+02     4.77276e-02     8.77407e+02     1.50000e+02     2.18774e-02     5.48098e+02     1.50000e+02     2.27000e-02     8.27902e+02
    9  327.0000        5     2.50000e+02    -3.47214e+03    -4.58167e-07     2.50000e+02    -1.56797e+03    -2.06902e-07     1.50000e+02     2.76302e-04     4.71882e+02     1.50000e+02     4.66757e-02     8.59267e+02     1.50000e+02     2.14851e-02     5.34596e+02     1.50000e+02     2.13347e-02     8.29247e+02
