    TS       Day   Newton        INJ1:BHP        INJ1:WIR        INJ1:OIR        INJ2:BHP        INJ2:WIR        INJ2:OIR        PRD1:BHP        PRD1:WPR        PRD1:OPR        PRD2:BHP        PRD2:WPR        PRD2:OPR        PRD3:BHP        PRD3:WPR        PRD3:OPR        PRD4:BHP        PRD4:WPR        PRD4:OPR
    0    0.0000        0     2.50000e+02    -2.05472e+03    -2.71131e-07     2.50000e+02    -7.29706e+02    -9.62885e-08     1.50000e+02     2.11297e-08     2.78818e+02     1.50000e+02     1.92825e-07     2.54442e+03     1.50000e+02     1.19759e-07     1.58028e+03     1.50000e+02     4.21568e-08     5.56281e+02
    1    1.0000        2     2.50000e+02    -1.92493e+03    -2.54005e-07     2.50000e+02    -7.10965e+02    -9.38155e-08     1.50000e+02     3.30301e-04     2.74842e+02     1.50000e+02     1.91438e-02     2.28954e+03     1.50000e+02     7.98335e-03     1.47846e+03     1.50000e+02     1.13006e-03     5.42516e+02
    2    3.0000        2     2.50000e+02    -1.76392e+03    -2.32758e-07     2.50000e+02    -6.83144e+02    -9.01443e-08     1.50000e+02     8.43912e-04     2.68389e+02     1.50000e+02     3.49957e-02     2.00529e+03     1.50000e+02     1.59354e-02     1.35688e+03     1.50000e+02     2.51616e-03     5.24463e+02
    3    7.0000        2     2.50000e+02    -1.59911e+03    -2.11010e-07     2.50000e+02    -6.45662e+02    -8.51984e-08     1.50000e+02     1.53426e-03     2.59108e+02     1.50000e+02     4.50453e-02     1.72861e+03     1.50000e+02     2.23543e-02     1.23144e+03     1.50000e+02     3.90648e-03     5.04731e+02
    4   15.0000        2     2.50000e+02    -1.43590e+03    -1.89475e-07     2.50000e+02    -6.00060e+02    -7.91810e-08     1.50000e+02     2.33534e-03     2.47220e+02     1.50000e+02     4.97314e-02     1.47419e+03     1.50000e+02     2.71381e-02     1.10202e+03     1.50000e+02     5.11624e-03     4.85805e+02
    5   31.0000        2     2.50000e+02    -1.27482e+03    -1.68219e-07     2.50000e+02    -5.46502e+02    -7.21138e-08     1.50000e+02     3.17157e-03     2.32984e+02     1.50000e+02     5.02511e-02     1.22395e+03     1.50000e+02     3.01911e-02     9.66574e+02     1.50000e+02     6.09660e-03     4.68747e+02
    6   61.0000        3     2.50000e+02    -1.13056e+03    -1.49183e-07     2.50000e+02    -4.92380e+02    -6.49721e-08     1.50000e+02     3.98507e-03     2.16302e+02     1.50000e+02     4.71696e-02     9.87703e+02     1.50000e+02     3.13255e-02     8.27847e+02     1.50000e+02     6.89008e-03     4.53293e+02
    7   91.0000        2     2.50000e+02    -1.06733e+03    -1.40840e-07     2.50000e+02    -4.62198e+02    -6.09894e-08     1.50000e+02     4.47411e-03     2.03975e+02     1.50000e+02     4.37204e-02     8.46245e+02     1.50000e+02     3.10265e-02     7.39332e+02     1.50000e+02     7.37841e-03     4.42809e+02
    8  121.0000        2     2.50000e+02    -1.05010e+03    -1.38566e-07     2.50000e+02    -4.43212e+02    -5.84841e-08     1.50000e+02     4.80028e-03     1.94028e+02     1.50000e+02     4.08498e-02     7.54470e+02     1.50000e+02     3.03595e-02     6.77933e+02     1.50000e+02     7.75390e-03     4.34130e+02
    9  151.0000        2     2.50000e+02    -1.05947e+03    -1.39802e-07     2.50000e+02    -4.34414e+02    -5.73232e-08     1.50000e+02     5.02652e-03     1.85707e+02     1.50000e+02     3.85644e-02     6.90739e+02     1.50000e+02     2.96475e-02     6.33777e+02     1.50000e+02     8.07518e-03     4.26221e+02
   10  181.0000        2     2.50000e+02    -1.08901e+03    -1.43700e-07     2.50000e+02    -4.27843e+02    -5.64562e-08     1.50000e+02     5.18713e-03     1.78568e+02     1.50000e+02     3.67510e-02     6.44395e+02     1.50000e+02     2.89920e-02     6.00971e+02     1.50000e+02     8.35706e-03     4.18854e+02
   11  211.0000        2     2.50000e+02    -1.12954e+03    -1.49049e-07     2.50000e+02    -4.26921e+02    -5.63344e-08     1.50000e+02     5.30309e-03     1.72298e+02     1.50000e+02     3.52880e-02     6.09205e+02     1.50000e+02     2.84166e-02     5.75872e+02     1.50000e+02     8.60393e-03     4.12005e+02
   12  241.0000        2     2.50000e+02    -1.17726e+03    -1.55346e-07     2.50000e+02    -4.26982e+02    -5.63425e-08     1.50000e+02     5.38557e-03     1.66798e+02     1.50000e+02     3.40802e-02     5.81424e+02     1.50000e+02     2.79207e-02     5.56240e+02     1.50000e+02     8.81928e-03     4.05666e+02
   13  271.0000        2     2.50000e+02    -1.22908e+03    -1.62184e-07     2.50000e+02    -4.27852e+02    -5.64573e-08     1.50000e+02     5.44360e-03     1.61937e+02     1.50000e+02     3.30637e-02     5.58839e+02     1.50000e+02     2.74952e-02     5.40571e+02     1.50000e+02     9.00678e-03     3.99811e+02
   14  301.0000        3     2.50000e+02    -1.28368e+03    -1.69388e-07     2.50000e+02    -4.33681e+02    -5.72265e-08     1.50000e+02     5.48383e-03     1.57577e+02     1.50000e+02     3.21946e-02     5.40065e+02     1.50000e+02     2.71290e-02     5.27838e+02     1.50000e+02     9.16842e-03     3.94457e+02
   15  331.0000        2     2.50000e+02    -1.33227e+03    -1.75800e-07     2.50000e+02    -4.38856e+02    -5.79094e-08     1.50000e+02     5.51049e-03     1.53658e+02     1.50000e+02     3.14445e-02     5.24236e+02     1.50000e+02     2.68126e-02     5.17343e+02     1.50000e+02     9.30707e-03     3.89585e+02
   16  361.0000        2     2.50000e+02    -1.38854e+03    -1.83225e-07     2.50000e+02    -4.43526e+02    -5.85256e-08     1.50000e+02     5.52687e-03     1.50119e+02     1.50000e+02     3.07884e-02     5.10663e+02     1.50000e+02     2.65400e-02     5.08657e+02     1.50000e+02     9.42444e-03     3.85206e+02
   17  391.0000        2     2.50000e+02    -1.43966e+03    -1.89970e-07     2.50000e+02    -4.51811e+02    -5.96188e-08     1.50000e+02     5.53541e-03     1.46915e+02     1.50000e+02     3.02079e-02     4.98856e+02     1.50000e+02     2.63025e-02     5.01352e+02     1.50000e+02     9.52305e-03     3.81297e+02
   18  421.0000        3     2.50000e+02    -1.48548e+03    -1.96017e-07     2.50000e+02    -4.59280e+02    -6.06043e-08     1.50000e+02     5.53797e-03     1.44022e+02     1.50000e+02     2.96900e-02     4.88478e+02     1.50000e+02     2.60957e-02     4.95197e+02     1.50000e+02     9.60511e-03     3.77834e+02
   19  451.0000        2     2.50000e+02    -1.53142e+03    -2.02079e-07     2.50000e+02    -4.66013e+02    -6.14928e-08     1.50000e+02     5.53609e-03     1.41406e+02     1.50000e+02     2.92268e-02     4.79325e+02     1.50000e+02     2.59157e-02     4.90006e+02     1.50000e+02     9.67195e-03     3.74812e+02
   20  481.0000        2     2.50000e+02    -1.57766e+03    -2.08181e-07     2.50000e+02    -4.73543e+02    -6.24865e-08     1.50000e+02     5.53096e-03     1.39056e+02     1.50000e+02     2.88111e-02     4.71212e+02     1.50000e+02     2.57595e-02     4.85645e+02     1.50000e+02     9.72612e-03     3.72182e+02
   21  511.0000        2     2.50000e+02    -1.61921e+03    -2.13663e-07     2.50000e+02    -4.83424e+02    -6.37903e-08     1.50000e+02     5.52353e-03     1.36931e+02     1.50000e+02     2.84384e-02     4.64026e+02     1.50000e+02     2.56244e-02     4.81997e+02     1.50000e+02     9.76876e-03     3.69932e+02
   22  541.0000        2     2.50000e+02    -1.65671e+03    -2.18611e-07     2.50000e+02    -4.92387e+02    -6.49730e-08     1.50000e+02     5.51455e-03     1.35017e+02     1.50000e+02     2.81049e-02     4.57673e+02     1.50000e+02     2.55080e-02     4.78965e+02     1.50000e+02     9.80164e-03     3.68023e+02
   23  571.0000        2     2.50000e+02    -1.69047e+03    -2.23066e-07     2.50000e+02    -5.00537e+02    -6.60485e-08     1.50000e+02     5.50463e-03     1.33301e+02     1.50000e+02     2.78072e-02     4.52067e+02     1.50000e+02     2.54080e-02     4.76470e+02     1.50000e+02     9.82615e-03     3.66418e+02
   24  601.0000        2     2.50000e+02    -1.72411e+03    -2.27506e-07     2.50000e+02    -5.07920e+02    -6.70227e-08     1.50000e+02     5.49420e-03     1.31761e+02     1.50000e+02     2.75419e-02     4.47133e+02     1.50000e+02     2.53230e-02     4.74452e+02     1.50000e+02     9.84307e-03     3.65102e+02
   25  631.0000        2     2.50000e+02    -1.75780e+03    -2.31951e-07     2.50000e+02    -5.17111e+02    -6.82355e-08     1.50000e+02     5.48363e-03     1.30384e+02     1.50000e+02     2.73065e-02     4.42812e+02     1.50000e+02     2.52513e-02     4.72856e+02     1.50000e+02     9.85339e-03     3.64047e+02
   26  661.0000        2     2.50000e+02    -1.78810e+03    -2.35949e-07     2.50000e+02    -5.26085e+02    -6.94196e-08     1.50000e+02     5.47322e-03     1.29162e+02     1.50000e+02     2.70991e-02     4.39057e+02     1.50000e+02     2.51916e-02     4.71642e+02     1.50000e+02     9.85786e-03     3.63232e+02
   27  691.0000        2     2.50000e+02    -1.81548e+03    -2.39562e-07     2.50000e+02    -5.34270e+02    -7.04997e-08     1.50000e+02     5.46319e-03     1.28083e+02     1.50000e+02     2.69174e-02     4.35821e+02     1.50000e+02     2.51431e-02     4.70774e+02     1.50000e+02     9.85708e-03     3.62639e+02
   28  721.0000        2     2.50000e+02    -1.84008e+03    -2.42809e-07     2.50000e+02    -5.41694e+02    -7.14794e-08     1.50000e+02     5.45372e-03     1.27137e+02     1.50000e+02     2.67592e-02     4.33057e+02     1.50000e+02     2.51043e-02     4.70213e+02     1.50000e+02     9.85209e-03     3.62231e+02
