    TS       Day   Newton          I1:BHP          I1:WIR          I1:OIR          P1:BHP          P1:WPR          P1:OPR
    0    0.0000        0     4.34370e+02    -1.27365e+03    -1.68065e-07     3.93001e+02     1.12965e-07     1.49064e+03
    1    0.0100        1     4.34370e+02    -8.74199e+02    -1.15355e-07     3.93001e+02     1.19324e-02     1.03207e+03
    2    0.0300        1     4.34370e+02    -7.21375e+02    -9.51891e-08     3.93001e+02     1.36604e-02     8.59627e+02
    3    0.0700        1     4.34370e+02    -6.35593e+02    -8.38698e-08     3.93001e+02     1.39520e-02     7.71822e+02
    4    0.1500        1     4.34370e+02    -5.69979e+02    -7.52116e-08     3.93001e+02     1.39019e-02     7.13974e+02
    5    0.3100        1     4.34370e+02    -5.13249e+02    -6.77259e-08     3.93001e+02     1.37258e-02     6.77197e+02
    6    0.6300        2     4.34370e+02    -4.75319e+02    -6.27208e-08     3.93001e+02     1.34740e-02     6.53481e+02
    7    1.2700        2     4.34370e+02    -4.65682e+02    -6.14492e-08     3.93001e+02     1.30779e-02     6.28472e+02
    8    2.5500        2     4.34370e+02    -5.11431e+02    -6.74860e-08     3.93001e+02     1.25012e-02     6.06384e+02
    9    5.1100        3     4.34370e+02    -5.78344e+02    -7.63154e-08     3.93001e+02     1.17470e-02     6.13530e+02
   10   10.2300        3     4.34370e+02    -6.23402e+02    -8.22611e-08     3.93001e+02     1.04774e-02     6.51354e+02
   11   20.4700        3     4.34370e+02    -6.50524e+02    -8.58399e-08     3.93001e+02     8.44293e-03     6.93477e+02
   12   35.4700        3     4.34370e+02    -6.71941e+02    -8.86661e-08     3.93001e+02     6.41278e-03     7.24096e+02
   13   50.4700        3     4.34370e+02    -6.88850e+02    -9.08972e-08     3.93001e+02     4.93459e-03     7.44862e+02
   14   65.4700        3     4.34370e+02    -7.01006e+02    -9.25014e-08     3.93001e+02     3.80965e-03     7.59545e+02
   15   80.4700        3     4.34370e+02    -7.10307e+02    -9.37286e-08     3.93001e+02     2.92265e-03     7.70526e+02
   16   95.4700        3     4.34370e+02    -7.17730e+02    -9.47081e-08     3.93001e+02     2.21112e-03     7.79142e+02
   17  110.4700        2     4.34370e+02    -7.23760e+02    -9.55039e-08     3.93001e+02     1.64699e-03     7.86073e+02
   18  125.4700        2     4.34370e+02    -7.28766e+02    -9.61644e-08     3.93001e+02     1.21388e-03     7.91775e+02
   19  140.4700        2     4.34370e+02    -7.32846e+02    -9.67028e-08     3.93001e+02     9.37753e-04     7.96404e+02
   20  155.4700        3     4.34370e+02    -7.36311e+02    -9.71600e-08     3.93001e+02     1.01847e-03     8.00290e+02
   21  170.4700        3     4.34370e+02    -7.39043e+02    -9.75206e-08     3.93001e+02     2.41093e-03     8.03354e+02
   22  185.4700        3     4.34370e+02    -7.41226e+02    -9.78086e-08     3.93001e+02     9.37725e-03     8.05757e+02
   23  200.4700        3     4.34370e+02    -7.42576e+02    -9.79868e-08     3.93001e+02     4.10218e-02     8.07194e+02
   24  215.4700        2     4.34370e+02    -7.42858e+02    -9.80239e-08     3.93001e+02     1.90062e-01     8.07281e+02
