    TS       Day   Newton          I1:BHP          I1:WIR          I1:OIR          I2:BHP          I2:WIR          I2:OIR          I3:BHP          I3:WIR          I3:OIR          P1:BHP          P1:WPR          P1:OPR          P2:BHP          P2:WPR          P2:OPR          P3:BHP          P3:WPR          P3:OPR          P4:BHP          P4:WPR          P4:OPR          P5:BHP          P5:WPR          P5:OPR
    0    0.0000        0     3.30000e+02    -1.53366e+03    -2.02375e-07     3.30000e+02    -1.09218e+03    -1.44119e-07     3.30000e+02    -1.05095e+03    -1.38678e-07     3.10000e+02     2.66909e-07     3.52200e+03     3.10000e+02     3.00721e-07     3.96818e+03     3.10000e+02     2.79915e-07     3.69363e+03     3.10000e+02     2.87718e-07     3.79659e+03     3.10000e+02     2.66909e-07     3.52200e+03
    1    0.0100        1     3.30000e+02    -8.80868e+02    -1.16235e-07     3.30000e+02    -5.89943e+02    -7.78460e-08     3.30000e+02    -5.86595e+02    -7.74043e-08     3.10000e+02     1.37916e-02     2.02912e+03     3.10000e+02     1.75409e-02     2.27968e+03     3.10000e+02     1.44450e-02     2.33941e+03     3.10000e+02     1.59228e-02     2.22896e+03     3.10000e+02     1.38305e-02     2.01470e+03
    2    0.0300        1     3.30000e+02    -7.38849e+02    -9.74949e-08     3.30000e+02    -4.93988e+02    -6.51843e-08     3.30000e+02    -4.98299e+02    -6.57531e-08     3.10000e+02     1.40595e-02     1.76871e+03     3.10000e+02     1.78581e-02     1.98396e+03     3.10000e+02     1.50940e-02     2.13452e+03     3.10000e+02     1.62860e-02     2.00492e+03     3.10000e+02     1.40591e-02     1.78340e+03
    3    0.0700        1     3.30000e+02    -6.41159e+02    -8.46042e-08     3.30000e+02    -4.32826e+02    -5.71136e-08     3.30000e+02    -4.37102e+02    -5.76778e-08     3.10000e+02     1.38563e-02     1.60234e+03     3.10000e+02     1.75943e-02     1.80513e+03     3.10000e+02     1.52112e-02     2.01288e+03     3.10000e+02     1.61997e-02     1.88841e+03     3.10000e+02     1.39045e-02     1.64197e+03
    4    0.1500        2     3.30000e+02    -5.52735e+02    -7.29362e-08     3.30000e+02    -3.71699e+02    -4.90477e-08     3.30000e+02    -3.72526e+02    -4.91568e-08     3.10000e+02     1.33556e-02     1.43423e+03     3.10000e+02     1.70724e-02     1.65473e+03     3.10000e+02     1.51041e-02     1.90257e+03     3.10000e+02     1.59146e-02     1.77978e+03     3.10000e+02     1.35244e-02     1.49936e+03
    5    0.3100        2     3.30000e+02    -4.80885e+02    -6.34553e-08     3.30000e+02    -3.15505e+02    -4.16325e-08     3.30000e+02    -3.07956e+02    -4.06364e-08     3.10000e+02     1.24843e-02     1.25054e+03     3.10000e+02     1.63220e-02     1.51628e+03     3.10000e+02     1.47696e-02     1.78219e+03     3.10000e+02     1.53693e-02     1.64523e+03     3.10000e+02     1.28657e-02     1.34207e+03
    6    0.6300        2     3.30000e+02    -4.43262e+02    -5.84907e-08     3.30000e+02    -2.78394e+02    -3.67355e-08     3.30000e+02    -2.54310e+02    -3.35575e-08     3.10000e+02     1.11904e-02     1.05438e+03     3.10000e+02     1.53375e-02     1.38343e+03     3.10000e+02     1.41500e-02     1.63141e+03     3.10000e+02     1.44431e-02     1.46716e+03     3.10000e+02     1.18800e-02     1.16921e+03
    7    1.2700        3     3.30000e+02    -4.58584e+02    -6.05125e-08     3.30000e+02    -2.92852e+02    -3.86434e-08     3.30000e+02    -2.24129e+02    -2.95750e-08     3.10000e+02     9.47071e-03     8.51309e+02     3.10000e+02     1.41149e-02     1.25356e+03     3.10000e+02     1.31754e-02     1.43773e+03     3.10000e+02     1.30606e-02     1.25075e+03     3.10000e+02     1.05403e-02     9.81337e+02
    8    2.5500        3     3.30000e+02    -5.31298e+02    -7.01075e-08     3.30000e+02    -4.03788e+02    -5.32820e-08     3.30000e+02    -2.24975e+02    -2.96866e-08     3.10000e+02     7.36686e-03     6.46961e+02     3.10000e+02     1.26405e-02     1.12353e+03     3.10000e+02     1.17739e-02     1.19851e+03     3.10000e+02     1.12263e-02     1.01087e+03     3.10000e+02     8.81399e-03     7.77395e+02
    9    5.1100        4     3.30000e+02    -6.47137e+02    -8.53931e-08     3.30000e+02    -6.08014e+02    -8.02306e-08     3.30000e+02    -2.55190e+02    -3.36737e-08     3.10000e+02     5.05295e-03     4.56274e+02     3.10000e+02     1.08763e-02     9.96036e+02     3.10000e+02     9.90053e-03     9.39488e+02     3.10000e+02     9.04032e-03     7.73685e+02     3.10000e+02     6.71858e-03     5.66476e+02
