    TS         Day   Newton          I1:BHP          I1:WAT          I1:OIL          I2:BHP          I2:WAT          I2:OIL          I3:BHP          I3:WAT          I3:OIL          P1:BHP          P1:WAT          P1:OIL          P2:BHP          P2:WAT          P2:OIL          P3:BHP          P3:WAT          P3:OIL          P4:BHP          P4:WAT          P4:OIL          P5:BHP          P5:WAT          P5:OIL
     1      0.0100        2     3.30000e+02    -9.90312e+02    -1.30677e-07     3.30000e+02    -8.81486e+02    -1.16317e-07     3.30000e+02    -7.62907e+02    -1.00670e-07     3.10000e+02     1.34601e-02     1.94425e+03     3.10000e+02     1.33346e-02     2.00217e+03     3.10000e+02     1.28362e-02     2.15740e+03     3.10000e+02     1.32721e-02     2.02586e+03     3.10000e+02     1.34880e-02     1.93148e+03
     2      0.0300        2     3.30000e+02    -8.59035e+02    -1.13354e-07     3.30000e+02    -7.20042e+02    -9.50133e-08     3.30000e+02    -6.50384e+02    -8.58215e-08     3.10000e+02     1.35981e-02     1.66849e+03     3.10000e+02     1.36072e-02     1.76659e+03     3.10000e+02     1.33727e-02     1.95689e+03     3.10000e+02     1.35589e-02     1.83201e+03     3.10000e+02     1.36074e-02     1.68089e+03
     3      0.0700        2     3.30000e+02    -7.59930e+02    -1.00277e-07     3.30000e+02    -6.11322e+02    -8.06671e-08     3.30000e+02    -5.66609e+02    -7.47670e-08     3.10000e+02     1.32886e-02     1.49699e+03     3.10000e+02     1.34802e-02     1.63412e+03     3.10000e+02     1.34441e-02     1.84278e+03     3.10000e+02     1.34970e-02     1.73420e+03     3.10000e+02     1.33573e-02     1.52961e+03
     4      0.1500        2     3.30000e+02    -6.64185e+02    -8.76426e-08     3.30000e+02    -5.16032e+02    -6.80932e-08     3.30000e+02    -4.81975e+02    -6.35991e-08     3.10000e+02     1.26955e-02     1.33007e+03     3.10000e+02     1.31739e-02     1.51513e+03     3.10000e+02     1.33307e-02     1.74106e+03     3.10000e+02     1.32817e-02     1.63658e+03     3.10000e+02     1.28917e-02     1.38556e+03
     5      0.3100        2     3.30000e+02    -5.84791e+02    -7.71662e-08     3.30000e+02    -4.33642e+02    -5.72213e-08     3.30000e+02    -4.00097e+02    -5.27949e-08     3.10000e+02     1.17670e-02     1.15453e+03     3.10000e+02     1.26782e-02     1.39677e+03     3.10000e+02     1.30270e-02     1.63052e+03     3.10000e+02     1.28552e-02     1.51394e+03     3.10000e+02     1.21735e-02     1.23393e+03
     6      0.6300        3     3.30000e+02    -5.46465e+02    -7.21089e-08     3.30000e+02    -3.81951e+02    -5.04004e-08     3.30000e+02    -3.36648e+02    -4.44224e-08     3.10000e+02     1.04663e-02     9.70591e+02     3.10000e+02     1.19815e-02     1.27926e+03     3.10000e+02     1.24763e-02     1.49394e+03     3.10000e+02     1.21160e-02     1.35240e+03     3.10000e+02     1.11658e-02     1.07150e+03
     7      1.2700        3     3.30000e+02    -5.63812e+02    -7.43979e-08     3.30000e+02    -3.94028e+02    -5.19940e-08     3.30000e+02    -3.00039e+02    -3.95917e-08     3.10000e+02     8.79778e-03     7.82347e+02     3.10000e+02     1.10918e-02     1.16587e+03     3.10000e+02     1.16102e-02     1.31955e+03     3.10000e+02     1.09867e-02     1.15396e+03     3.10000e+02     9.84664e-03     8.97669e+02
     8      2.5500        4     3.30000e+02    -6.20930e+02    -8.19349e-08     3.30000e+02    -4.93103e+02    -6.50675e-08     3.30000e+02    -2.85782e+02    -3.77104e-08     3.10000e+02     6.81006e-03     5.95134e+02     3.10000e+02     1.00162e-02     1.05781e+03     3.10000e+02     1.03734e-02     1.10719e+03     3.10000e+02     9.48108e-03     9.36356e+02     3.10000e+02     8.19558e-03     7.12014e+02
     9      5.1100        5     3.30000e+02    -7.04981e+02    -9.30259e-08     3.30000e+02    -6.68759e+02    -8.82463e-08     3.30000e+02    -2.94482e+02    -3.88585e-08     3.10000e+02     4.67663e-03     4.23117e+02     3.10000e+02     8.72242e-03     9.56284e+02     3.10000e+02     8.76408e-03     8.80680e+02     3.10000e+02     7.70703e-03     7.25169e+02     3.10000e+02     6.24542e-03     5.22569e+02
    10     10.2300        6     3.30000e+02    -8.01329e+02    -1.05739e-07     3.30000e+02    -8.61119e+02    -1.13629e-07     3.30000e+02    -3.21068e+02    -4.23666e-08     3.10000e+02     2.77560e-03     2.93735e+02     3.10000e+02     7.10669e-03     8.75191e+02     3.10000e+02     6.96130e-03     6.91064e+02     3.10000e+02     5.89338e-03     5.54605e+02     3.10000e+02     4.27161e-03     3.58538e+02
    11     20.4700        9     3.30000e+02    -8.76615e+02    -1.15674e-07     3.30000e+02    -1.00267e+03    -1.32308e-07     3.30000e+02    -3.47986e+02    -4.59185e-08     3.10000e+02     1.43590e-03     2.27144e+02     3.10000e+02     5.02752e-03     8.36935e+02     3.10000e+02     5.23177e-03     5.86462e+02     3.10000e+02     4.31198e-03     4.57054e+02     3.10000e+02     2.74825e-03     2.57008e+02
    12     40.9500        9     3.30000e+02    -9.23686e+02    -1.21885e-07     3.30000e+02    -1.08159e+03    -1.42722e-07     3.30000e+02    -3.62818e+02    -4.78757e-08     3.10000e+02     6.32151e-04     2.10491e+02     3.10000e+02     2.81549e-03     8.41654e+02     3.10000e+02     3.50166e-03     5.60410e+02     3.10000e+02     2.94172e-03     4.27212e+02     3.10000e+02     1.72777e-03     2.20989e+02
    13     50.0000        8     3.30000e+02    -9.40766e+02    -1.24139e-07     3.30000e+02    -1.10911e+03    -1.46353e-07     3.30000e+02    -3.66122e+02    -4.83117e-08     3.10000e+02     4.29314e-04     2.10240e+02     3.10000e+02     2.11433e-03     8.50974e+02     3.10000e+02     2.90446e-03     5.61962e+02     3.10000e+02     2.50156e-03     4.25699e+02     3.10000e+02     1.43510e-03     2.17185e+02
    14     90.9600       15     3.30000e+02    -9.70964e+02    -1.28124e-07     3.30000e+02    -1.14987e+03    -1.51731e-07     3.30000e+02    -3.64995e+02    -4.81630e-08     3.10000e+02     1.95618e-04     2.16045e+02     3.10000e+02     1.95122e-03     8.78524e+02     3.10000e+02     1.63069e-03     5.78165e+02     3.10000e+02     1.58780e-03     4.33611e+02     3.10000e+02     7.90975e-04     2.21259e+02
    15    100.0000        6     3.30000e+02    -9.83323e+02    -1.29755e-07     3.30000e+02    -1.16391e+03    -1.53584e-07     3.30000e+02    -3.65070e+02    -4.81729e-08     3.10000e+02     1.63444e-04     2.17769e+02     3.10000e+02     2.03308e-03     8.88332e+02     3.10000e+02     1.40146e-03     5.83204e+02     3.10000e+02     1.42534e-03     4.36238e+02     3.10000e+02     6.72800e-04     2.22895e+02
    16    150.0000       14     3.30000e+02    -1.01208e+03    -1.33549e-07     3.30000e+02    -1.18366e+03    -1.56191e-07     3.30000e+02    -3.61056e+02    -4.76432e-08     3.10000e+02     1.13703e-04     2.25948e+02     3.10000e+02     4.69152e+01     8.61157e+02     3.10000e+02     8.80034e-04     5.96530e+02     3.10000e+02     1.00539e-03     4.42253e+02     3.10000e+02     3.74205e-04     2.27108e+02
    17    200.0000       13     3.30000e+02    -1.04312e+03    -1.37646e-07     3.30000e+02    -1.20878e+03    -1.59504e-07     3.30000e+02    -3.60064e+02    -4.75123e-08     3.10000e+02     8.90962e-05     2.32056e+02     3.10000e+02     1.44367e+02     7.95180e+02     3.10000e+02     6.43368e-04     6.08750e+02     3.10000e+02     7.80834e-04     4.48417e+02     3.10000e+02     2.32196e-04     2.31212e+02
    18    250.0000       11     3.30000e+02    -1.07529e+03    -1.41889e-07     3.30000e+02    -1.23734e+03    -1.63273e-07     3.30000e+02    -3.59817e+02    -4.74798e-08     3.10000e+02     7.11866e-05     2.34388e+02     3.10000e+02     2.46463e+02     7.36466e+02     3.10000e+02     5.28191e-04     6.19067e+02     3.10000e+02     6.49722e-04     4.54363e+02     3.10000e+02     1.60229e-04     2.35123e+02
    19    300.0000       11     3.30000e+02    -1.09914e+03    -1.45037e-07     3.30000e+02    -1.26345e+03    -1.66719e-07     3.30000e+02    -3.61404e+02    -4.76891e-08     3.10000e+02     5.71787e-05     2.36027e+02     3.10000e+02     3.33990e+02     6.81215e+02     3.10000e+02     4.67404e-04     6.28640e+02     3.10000e+02     5.68956e-04     4.60541e+02     3.10000e+02     1.21363e-04     2.39329e+02
